ticker,strategy,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,n_trades,win_rate
AAPL,SMA 50/200,12.711646792688214,0.17054524769240942,0.23509334426165807,0.7876851631544131,-0.4568995150061196,0.37326642312177805,0.7384248210023866,8,0.75
AAPL,Z-rev 20/-1.0,0.7287371987541293,0.0334697779855373,0.19361458793111977,0.26671802995739063,-0.5125063347597673,0.06530607665801039,0.29403341288782814,105,0.7142857142857143
AAPL,Buy & hold,48.465801861581355,0.26444785625949563,0.2812366014494033,0.9752367610691973,-0.43797148506785344,0.6038015379437901,0.9997613365155131,1,1.0
MSFT,SMA 50/200,9.992818213117472,0.1550894775264906,0.21433281590042347,0.7801354421470268,-0.28039289762642283,0.5531148571855828,0.7486873508353222,11,0.5454545454545454
MSFT,Z-rev 20/-1.0,3.589020045781938,0.09596820311854959,0.16849699089370368,0.6279290695893812,-0.21627426482702095,0.443733808066837,0.2756563245823389,125,0.768
MSFT,Buy & hold,21.055766452310685,0.2044914431641791,0.2607210303174968,0.8439670472852265,-0.3714848923892753,0.5504704157656419,0.9997613365155131,1,1.0
JNJ,SMA 50/200,1.4454557396662713,0.055254470778907994,0.148843926214482,0.43590209023682325,-0.47413502040985034,0.11653741740305344,0.7267303102625299,14,0.35714285714285715
JNJ,Z-rev 20/-1.0,0.7555288094634371,0.03442611559903641,0.11353870553478217,0.35473524038628024,-0.25399395991880735,0.13553911128454074,0.3171837708830549,122,0.7622950819672131
JNJ,Buy & hold,5.6785051053923485,0.12098253998208075,0.17061597863550904,0.7549008140594266,-0.273662794509444,0.4420861820071259,0.9997613365155131,1,1.0
XOM,SMA 50/200,1.6359384723255315,0.0600256964006054,0.17448019317278057,0.42144449996036226,-0.4229124115921765,0.14193410918024668,0.5985680190930788,13,0.46153846153846156
XOM,Z-rev 20/-1.0,0.1804098679328079,0.010025375216748289,0.16193319190147515,0.14293474851761553,-0.6149753831763228,0.016302075645642324,0.3329355608591885,131,0.7557251908396947
XOM,Buy & hold,3.3309531802126315,0.09215974920088055,0.25027818610915026,0.47749024804864815,-0.6239595979698886,0.14770146897448325,0.9997613365155131,1,1.0
KO,SMA 50/200,0.8023737610644079,0.036065775599019245,0.14715162677494778,0.3147364015941132,-0.36987510517127753,0.09750798335648547,0.7212410501193317,14,0.6428571428571429
KO,Z-rev 20/-1.0,0.9713525009958173,0.041664987732545455,0.11228384934268315,0.41991036709865415,-0.315333960658741,0.13212971937911855,0.29594272076372313,124,0.7741935483870968
KO,Buy & hold,4.1500048589792256,0.10359668640655739,0.17193743958845917,0.6596801786372232,-0.36987510517127786,0.28008558823818364,0.9997613365155131,1,1.0
SPY,SMA 50/200,3.3847009744745664,0.09297020611456253,0.13958314742768088,0.7070497795604194,-0.3371726113109914,0.27573475126902103,0.7990453460620525,8,0.75
SPY,Z-rev 20/-1.0,1.1089498456670106,0.04590052444517956,0.1287439412429747,0.41312410716411574,-0.32044129967911583,0.14324159991593943,0.24701670644391407,127,0.8031496062992126
SPY,Buy & hold,8.06276212778982,0.14175444948821503,0.17073400213412107,0.862223024925531,-0.3371726113109915,0.4204210090998989,0.9997613365155131,1,1.0
