ticker,variant,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,n_trades,win_rate
AAPL,strategy,12.711647665317054,0.1705452521727875,0.2350933859249785,0.7876850749667584,-0.45689967858307223,0.37326629929283134,0.7384248210023866,8,0.75
AAPL,buy_and_hold,48.46580924175522,0.26444786760565697,0.2812366271260047,0.9752367229839511,-0.43797151906805043,0.6038015169761941,0.9997613365155131,1,1.0
MSFT,strategy,9.99283283922194,0.15508956995830947,0.21433277168216472,0.7801359286906396,-0.2803928119210063,0.5531153559029256,0.7486873508353222,11,0.5454545454545454
MSFT,buy_and_hold,21.055770115473273,0.2044914551958028,0.2607209761599961,0.8439672031795841,-0.3714848923892754,0.5504704481535637,0.9997613365155131,1,1.0
JNJ,strategy,1.4454537153455869,0.05525441824213506,0.1488438501406231,0.4359019048908814,-0.47413508947656724,0.11653728962168672,0.7267303102625299,14,0.35714285714285715
JNJ,buy_and_hold,5.678505105851649,0.12098253998671726,0.17061586022763858,0.7549012223689143,-0.27366238293526135,0.4420868468990032,0.9997613365155131,1,1.0
XOM,strategy,1.635939903786145,0.060025731022189444,0.1744801466978743,0.42144475257181824,-0.42291272214634756,0.14193408681949685,0.5985680190930788,13,0.46153846153846156
XOM,buy_and_hold,3.3309540705857277,0.09215976270484183,0.2502781905793876,0.477490289658305,-0.6239597119149078,0.14770146364419448,0.9997613365155131,1,1.0
KO,strategy,0.8023718613138366,0.036065709920131805,0.14715154993202678,0.3147360584876571,-0.36987489185334477,0.09750786202171259,0.7212410501193317,14,0.6428571428571429
KO,buy_and_hold,4.150007715613089,0.10359672322316205,0.17193736040672894,0.6596805978052941,-0.36987489185334477,0.2800858493099286,0.9997613365155131,1,1.0
SPY,strategy,3.3847054199530273,0.09297027276042047,0.13958323043050094,0.7070498806910278,-0.3371724962452115,0.2757350430291534,0.7990453460620525,8,0.75
SPY,buy_and_hold,8.062758856052527,0.14175442469817967,0.1707340980378189,0.8622225110259587,-0.3371724962452114,0.4204210790523306,0.9997613365155131,1,1.0
