scenario,total_bps,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,n_trades,win_rate
0 bps (frictionless),0.0,3.4310795065656006,0.09366207292293138,0.13957209077445565,0.711630359966075,-0.33717261131099163,0.2777867174879814,0.7990453460620525,8,0.75
7 bps (baseline),7.0,3.3847009744745664,0.09297020611456253,0.13958314742768088,0.7070497795604194,-0.3371726113109914,0.27573475126902103,0.7990453460620525,8,0.75
15 bps,15.0,3.33225185848221,0.09217944300343794,0.13959964706183758,0.7017962960794993,-0.3371726113109915,0.2733894744446373,0.7990453460620525,8,0.75
30 bps,30.0,3.235484512906285,0.09069659469725289,0.13964168609173735,0.6918943475194783,-0.3371726113109913,0.2689915837013192,0.7990453460620525,8,0.75
60 bps (retail-hostile),60.0,3.047971670978084,0.08773024147753405,0.13976915560452374,0.6718996688840393,-0.3371726113109915,0.2601938548223775,0.7990453460620525,8,0.75
