fast,slow,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,n_trades,win_rate
10,50,2.0421635639374043,0.06920294043769859,0.11076733003821723,0.6596890411681765,-0.21109815649298858,0.3278235186293401,0.7202863961813842,55,0.4909090909090909
10,100,3.7677971399159196,0.09849023325895678,0.11301676701576195,0.887973300950418,-0.22053359684153861,0.44659967764333697,0.7766109785202864,25,0.6
10,150,2.748710475195631,0.08271734150794319,0.11715177180502892,0.7372437938357782,-0.2647320239837274,0.3124568771967976,0.8062052505966587,25,0.56
10,200,3.789935150207861,0.09879632930142757,0.11865536152735005,0.8537576716045625,-0.20369945330797246,0.4850102820455672,0.8088305489260144,13,0.6923076923076923
10,250,3.02423886230131,0.08734563301676102,0.12342251884250632,0.740622095379025,-0.20699704579156808,0.42196560188937243,0.8052505966587112,13,0.46153846153846156
20,50,1.9614819637025476,0.06747586513785553,0.11491621249770523,0.6259609359619928,-0.2938430818311316,0.22963230822848898,0.7162291169451074,41,0.5853658536585366
20,100,2.7344102979735845,0.08246848965079612,0.11899224674470467,0.7258066224061425,-0.2206864526600293,0.3736907665004704,0.7751789976133652,20,0.65
20,150,2.897915271131153,0.08526188283735303,0.12328930633637185,0.7257182526285567,-0.2666842177082519,0.31971101840990124,0.8009546539379475,16,0.5625
20,200,3.3317014898469424,0.09217109761753717,0.12944067696271155,0.7465246430697037,-0.34157260201923845,0.26984335708619217,0.8066825775656324,11,0.5454545454545454
20,250,2.985979742167835,0.08672110303939218,0.13329662098023434,0.6912017395682436,-0.29109761430185965,0.2979107308982098,0.8045346062052506,10,0.5
30,50,1.7405685585080057,0.06251027406659837,0.11972553250844015,0.5665910782686903,-0.3220448725026006,0.19410423640914692,0.7083532219570405,42,0.6190476190476191
30,100,2.6413259109459237,0.08082640067690061,0.12419607769017833,0.688323674633645,-0.2666842177082521,0.3030790549642622,0.7713603818615752,19,0.631578947368421
30,150,2.867036385807467,0.0847428768789984,0.1285532836575374,0.6976588771679031,-0.31503337357951766,0.2689965063577889,0.7990453460620525,13,0.7692307692307693
30,200,3.4982288998969127,0.09465182988391962,0.13168196531092777,0.7532571843597179,-0.33328850531684406,0.2839936822721741,0.8050119331742244,8,0.75
30,250,2.689308495743352,0.08167771848792493,0.13838345080184794,0.6370554259424954,-0.3762849240614857,0.21706348903465136,0.8040572792362769,9,0.5555555555555556
50,100,2.4266352319403355,0.07688335582627137,0.12851304340193787,0.641181640014215,-0.34315869479467787,0.2240460667105433,0.7682577565632458,16,0.75
50,150,3.732284198479447,0.09799640445187774,0.13224443677418932,0.7735493505233755,-0.3371726113109914,0.29064165108443724,0.7923627684964201,12,0.8333333333333334
50,200,3.3847009744745664,0.09297020611456253,0.13958314742768088,0.7070497795604194,-0.3371726113109914,0.27573475126902103,0.7990453460620525,8,0.75
50,250,3.4293267543313855,0.09363604968109218,0.14177519812709893,0.7026068728510206,-0.33717261131099163,0.277709536717758,0.7964200477326969,8,0.625
75,100,2.888932864064012,0.08511130808630618,0.13569612638143186,0.6702273661725736,-0.33717261131099163,0.2524265175495042,0.7665871121718377,19,0.7368421052631579
75,150,3.43858836820295,0.09377344815585009,0.14069129504240876,0.7077717743542331,-0.33717261131099174,0.2781170386029902,0.775417661097852,10,0.7
75,200,3.9127781970212583,0.10047106027848818,0.14336667269514922,0.7397979949956272,-0.3371726113109914,0.2979810841925669,0.7911694510739857,7,0.8571428571428571
75,250,3.8158912524203927,0.09915352818549383,0.1448688790954728,0.7253567280924699,-0.3371726113109915,0.29407349487838286,0.7880668257756563,7,0.8571428571428571
100,150,2.8486022128477164,0.08443117923213195,0.14335157366459048,0.6374103117431099,-0.33717261131099163,0.25040936422400195,0.7680190930787589,13,0.6923076923076923
100,200,3.685098228190256,0.09733483890431605,0.14597772636762218,0.709595719496597,-0.3371726113109915,0.2886795535552535,0.7825775656324583,7,1.0
100,250,3.9800257480559003,0.10137125501162303,0.1479691609707683,0.7268657447549983,-0.3371726113109913,0.30065091769308394,0.7933174224343675,6,0.8333333333333334
